Samples,Anaerolineaceae_bacterium_oral_taxon_439,Actinomyces_sp._oral_taxon_414,Fretibacterium_fastidiosum,Tannerella_forsythia,Actinomyces_dentalis,Treponema_socranskii,Olsenella_sp._oral_taxon_807,Treponema_denticola,Peptostreptococcaceae_bacterium_oral_taxon_113,Treponema_maltophilum,Bacteroidetes_oral_taxon_274,Eubacterium_saphenum,Desulfomicrobium_orale,Methanobrevibacter_oralis,Schaalia_cardiffensis,Eubacterium_brachy,Filifactor_alocis,Actinomyces_oris,Parvimonas_micra,Johnsonella_ignava,Lautropia_mirabilis,Other
16829_Medieval_SpitalSquare_SSQ88,5.88997165,19.71411331,4.765776149,1.054510541,7.157486314,1.153199054,29.13319722,0.957287068,4.981986374,0.411506469,1.596235738,0.586950355,1.929309469,2.740963037,1.360746432,0.669120008,0.377322195,0.431104037,0.638651416,0,0.940555883,13.51000728
16906_PostMedieval_StBenetSherehog_ONE94,4.535146036,18.35443382,4.553138981,1.042666652,7.049755111,1.129098015,7.645968439,0.871054191,2.099466735,0.621816581,3.2410674,0.774675067,0,1.367246319,0.857681791,0.339745924,0.278265502,0.776414566,0.40595561,0.381548263,3.304232962,40.37062204
16884_Medieval_MertonPriory_MPY86,4.987086336,25.42728544,0.351991488,0.339406744,10.9720857,0.369343181,22.13675613,0,1.494819757,0,0,0.506154607,0,9.696068888,1.196027416,0.842605843,0.335879202,0.58109104,0.4288347,0,0,20.33456353
16886_Medieval_MertonPriory_MPY86,3.520914168,13.17190403,3.22937262,2.39326394,4.648703192,1.279979125,7.413108335,0.762754856,2.116989981,0.729513151,4.967448807,0.37981597,0.381134535,0,1.54563517,0,0,1.497125876,0,0.664625899,4.315036979,46.98267337
Jewbury8838,25.47874769,18.32009599,4.884036081,0.324584829,7.209552656,1.514419503,22.16706662,1.427084882,2.299701098,0.431032194,0,0.919668075,3.249299199,2.542658583,1.932975323,0.384179426,0.615921447,0,0,0,0,6.298976404
16967_Medieval_BermondseyAbbey_BA84,3.21885104,26.17957343,3.867087757,1.871190621,8.755148343,1.506359835,9.611492763,0.745076958,1.079669874,0.517205942,1.587883507,0,4.550206724,0.727586425,0.744978142,0.226882851,0,0.337458596,0,0,0.89784738,33.57549981
16891_Medieval_MertonPriory_MPY86,47.19748403,12.74403861,6.968095809,1.786614797,6.298860511,0.851821766,7.029703216,0.641412598,2.195012284,0.605143722,0,3.472372307,1.717554882,0.594461792,0,0.937028784,0,0,0,0,0,6.960394892
16888_Medieval_MertonPriory_MPY86,17.67241407,3.997008406,11.81833922,4.36522929,1.679038313,2.288556189,2.225609148,5.205810437,5.160370139,1.38457746,3.805914576,4.248989661,19.9189412,0,0.864009289,0.394545362,1.309079628,0.418037867,0,3.461121835,0.323359853,9.459048057
16832_Medieval_SpitalSquare_SSQ88,2.004925145,27.48300825,2.02001093,0.528623186,10.895985,0.557391428,12.36321929,0.48039725,0.428177224,0.388614145,1.186649485,0.367348316,0.708869983,0,0.69394612,0,0,0.836114128,0.340442184,0.236892706,9.142201742,29.33718349
16968_Medieval_BermondseyAbbey_BA84,16.44459155,13.80838246,7.715773909,3.263136214,5.631686975,1.006280543,14.44770876,0.970210202,5.985627199,0.577740296,0.963651958,2.075479239,11.25845527,1.293818548,2.534351364,0.560217488,0.856568132,0,0.297067953,0,0,10.30925194
16880_Medieval_MertonPriory_MPY86,8.049898263,18.54414057,9.482090326,1.722771837,7.220171507,1.473177844,22.57272623,2.792252575,1.304271933,0.867803316,2.588008194,1.626254173,8.106970321,0,0,0.357406276,0.285959247,0,0.291777688,0.677249384,0,12.03707032
16931_Medieval_StMaryGraces_MIN86,10.52005226,14.6317618,11.34713699,4.299967702,6.455043544,2.407202111,11.97781638,3.327979469,1.171739744,0.970533379,1.40291611,4.012924927,18.1942638,0,0,0.254745008,1.401461256,0.355711904,0.276567824,0.841196821,0,6.150978971
16961_PostMedieval_StBrides_SB79,0.720614266,0.275005576,0.721800658,0.458658998,0,0.201093379,0,0.633889039,0,0,1.241914741,0.326613611,0.806627658,0,0,0,0,2.760377367,0,0.222804345,24.17106818,67.45953218
16830_Medieval_SpitalSquare_SSQ88,0.754696329,4.253040569,0.576243323,0.922633164,1.467167008,0.649427298,3.306048516,0.649105374,0,0.51030263,3.573996296,0,0,0.470813329,0,0,0,0.569965812,0.765480772,3.408312927,8.518045966,69.60472069
16893_PostMedieval_CrossBones_REW92,10.61027622,19.44470799,5.116047138,2.722733501,9.171684454,0.885770959,4.920778163,0.753164571,3.055904294,0.504720655,0,1.120976301,9.771833167,13.81379062,2.363747487,1.263070334,0.528219125,0,0.328096006,0,0,13.62447902
16900_PostMedieval_CrossBones_REW92,9.120267173,23.38392709,8.026016273,0.653557448,11.24555959,0.81758678,3.890626108,1.424672532,1.275017919,0.898321505,0.587788184,4.027481313,7.343709386,6.900456053,0,1.11610835,0.716373002,0.962712372,1.626115518,0,0,15.9837034
16966_Medieval_BermondseyAbbey_BA84,2.0371555,3.518143588,1.527701754,1.240605057,1.069468168,0.639922268,3.24709441,0.474500933,0.273247468,0.427677353,2.557820527,0,1.378437851,0.960103232,0,0,0,0.617499709,0.442955469,1.13266901,28.5807399,49.8742578
16894_PostMedieval_CrossBones_REW92,9.342803825,4.729700406,0.830500383,1.220796505,2.105544867,0,4.656067817,0.303788679,3.936667294,0,0,2.702706612,0,53.92104388,0,2.36448855,0.871873508,0,0.468123888,0,0,12.54589379
16818_Medieval_SpitalSquare_NRF88,16.05131042,8.441448976,3.821331366,1.484248984,3.038378966,0.758451999,25.43288005,0.808696107,1.759494546,0.544274603,1.969210674,0.675808852,0,1.569232468,1.25288474,0.481780294,0.264165529,0,0.708244458,0.912402286,0,30.02575468
16823_Medieval_SpitalSquare_NRF88,14.35706508,15.34701739,4.351672547,1.601738016,6.621878187,0.781831463,7.783340684,0.594557157,2.609177302,0,0,0.998480442,0,11.00602655,0.544077515,1.533943683,0.686816027,0,0,0,0,31.18237796
16956_Medieval_GuildhallYard_GYE92,16.36665381,12.46978436,8.000178079,1.773695163,5.686558698,0.935819178,10.59278716,1.952433245,9.257445496,0.621543545,1.741129875,0.907293635,5.555720443,0.472650105,2.176927618,0.348654683,0.514119319,0,0.351540214,0.434231311,1.588691354,18.25214271
16814_Medieval_SpitalSquare_NRF88,8.959622529,23.89882011,1.440302816,0,10.40039194,0.322996436,18.57783584,0.487994074,2.542095103,0.205065993,0.278203865,0.844176674,0,0.274821092,2.408533918,0,0,2.018231977,0.852050368,0.65089206,0,25.83796521
16923_PostMedieval_ChelseaOldChurch_OCU00,21.83153002,12.1418049,7.559913503,1.312998739,5.594734185,0.809730063,0,0.902713626,1.145213722,0.899992788,0.344466744,4.600246257,33.23538316,0,0.264741868,0.519593705,0.49350821,0,0.944605895,0.288970284,0,7.109852331
16862_Medieval_MertonPriory_MPY86,10.03563702,9.717165433,5.426984253,2.83830273,3.204784329,1.783085809,13.36747036,1.45010316,1.373611318,0.705947916,3.620202182,0.826513261,1.793351616,0.522243997,2.354343247,0,0.439114115,0.7741808,0.359534812,0.337073535,9.594670425,29.47567968
