SampleID,EBC,ModernCalculus,Plaque,Skin,Soil,Unknown
16961_PostMedieval_StBrides_SB79,0.19,0.705,92.47,1.6,0.015,5.02
16812_Medieval_SpitalSquare_NRF88,0.085,1.09,90.895,1.93,0.015,5.985
16847_Medieval_MertonPriory_MPY86,0,0.82,90.535,2.445,0,6.2
16857_Medieval_MertonPriory_MPY86,0,1.885,89.84,1.665,0,6.61
16838_Medieval_MertonPriory_MPY86,0.06,3.265,88.32,1.415,0.01,6.93
16842_Medieval_MertonPriory_MPY86,0.015,5.735,85.785,1.405,0.015,7.045
16920_PostMedieval_ChelseaOldChurch_OCU00,0.3,2.59,88.65,0.785,0.095,7.58
16918_Medieval_StBenetSherehog_ONE94,0,6.365,84.105,1.165,0,8.365
16860_Medieval_MertonPriory_MPY86,0,5.485,79.64,6.28,0,8.595
16897_PostMedieval_CrossBones_REW92,0.135,1.21,86.19,3.695,0.01,8.76
16886_Medieval_MertonPriory_MPY86,0.005,13.535,74.92,2.485,0,9.055
16883_Medieval_MertonPriory_MPY86,0,3.255,85.35,2.22,0,9.175
Jewbury8839,0.05,1.175,84.41,5.165,0.01,9.19
16844_Medieval_MertonPriory_MPY86,0,1.785,87.08,1.45,0,9.685
16830_Medieval_SpitalSquare_SSQ88,0,21.445,63.125,5.385,0,10.045
16942_Medieval_StMaryGraces_MIN86,0.135,5.05,82.435,1.91,0.025,10.445
Jewbury8822,0,3.43,82.68,3.395,0,10.495
16832_Medieval_SpitalSquare_SSQ88,0.115,1.19,85.735,1.575,0.01,11.375
16813_Medieval_SpitalSquare_NRF88,0.035,1.26,84.01,3.15,0,11.545
16834_Medieval_MertonPriory_MPY86,0.175,0.52,77.935,9.3,0.125,11.945
18502_Pictish4,0,30.945,55.855,0.975,0,12.225
Jewbury8830,0.245,1.98,83.565,1.59,0.01,12.61
16852_Medieval_MertonPriory_MPY86,0,0.66,86.235,0.17,0,12.935
16959_Medieval_GuildhallYard_GYE92,0.05,2.2,82.125,1.49,0,14.135
16839_Medieval_MertonPriory_MPY86,0,14.285,67.625,2.635,0,15.455
16953_Medieval_GuildhallYard_GYE92,0.13,0.79,79.54,3.485,0.02,16.035
Jewbury8815,0,20.82,61.355,1.035,0,16.79
16835_Medieval_MertonPriory_MPY86,0.05,3.68,71.185,8.14,0.03,16.915
16821_Medieval_SpitalSquare_NRF88,0,6.07,75.115,1.21,0,17.605
16887_Medieval_MertonPriory_MPY86,0,10.485,69.14,2.04,0,18.335
16957_Medieval_GuildhallYard_GYE92,0.055,0.845,71.35,8.625,0,19.125
16905_PostMedieval_StBenetSherehog_ONE94,0.295,1.11,77.11,0.9,0.04,20.545
16873_Medieval_MertonPriory_MPY86,0.02,11.925,64.45,2.725,0.01,20.87
16901_PostMedieval_CrossBones_REW92,0,2.51,72.65,3.69,0,21.15
16911_PostMedieval_StBenetSherehog_ONE94,0,0.325,76.855,1.62,0,21.2
16869_Medieval_MertonPriory_MPY86,0,12.82,60.97,4.415,0,21.795
16906_PostMedieval_StBenetSherehog_ONE94,0,4.28,72.665,1.245,0,21.81
16966_Medieval_BermondseyAbbey_BA84,0.03,7.33,65.76,4.975,0.01,21.895
16967_Medieval_BermondseyAbbey_BA84,0.01,1.255,67.095,9.015,0,22.625
16836_Medieval_MertonPriory_MPY86,0.095,3.125,69.23,1.85,0.005,25.695
Jewbury8835,0,7.75,64.255,1.59,0,26.405
16926_PostMedieval_ChelseaOldChurch_OCU00,0.03,2.585,67.55,2.52,0,27.315
